Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
2240	-431.428	-418.973	-12.4545	633623.1	8.100388	0.998404	0.999592	1.00041	1.0016	3.466598
2250	-425.454	-420.245	-5.20917	916549.4	9.58593	0.998673	0.999661	1.00034	1.00133	2.722225
2260	-429.542	-423.467	-6.07506	979797.9	10.25352	0.998716	0.999672	1.00033	1.00128	2.83309
2270	-436.439	-422.196	-14.2424	242703.8	6.890151	0.997421	0.99934	1.00066	1.00258	3.595093
2280	-433.519	-422.613	-10.9058	197035.2	9.764714	0.997138	0.999267	1.00073	1.00287	3.314558
2290	-430.506	-418.333	-12.1731	619207.1	9.291462	0.998385	0.999587	1.00041	1.00162	3.453521
2300	-435.723	-423.322	-12.4017	87376.37	7.286424	0.995703	0.998898	1.0011	1.0043	3.389331
2310	-439.316	-418.884	-20.4322	444338.1	7.213547	0.998094	0.999512	1.00049	1.00191	4.492859
2320	-429.698	-414.244	-15.4543	5707.303	7.515748	0.983225	0.995653	1.00425	1.01688	3.822034
2330	-430.814	-419.829	-10.985	267637.1	7.614594	0.997544	0.999371	1.00063	1.00246	3.239514
2340	-442.293	-423.197	-19.0959	2786.828	7.339581	0.976025	0.993748	1.00605	1.02418	4.308093
2350	-439.071	-416.905	-22.1669	172.4718	11.07391	0.904939	0.973649	1.02304	1.09837	4.290891
2360	-430.255	-422.423	-7.83225	177157.3	9.330756	0.996982	0.999227	1.00077	1.00302	2.987841
2370	-429.061	-422.766	-6.29483	299056.8	9.9482	0.997677	0.999405	1.00059	1.00233	2.847993
2380	-434.96	-425.963	-8.99795	472186.4	10.58014	0.998151	0.999527	1.00047	1.00185	3.113524
2390	-430.69	-410.885	-19.8045	664814.9	10.50335	0.998441	0.999601	1.0004	1.00156	4.143732
2400	-439.978	-418.083	-21.8948	920588.8	6.092815	0.998676	0.999661	1.00034	1.00133	4.681609
2410	-441.667	-425.032	-16.6341	1025.829	9.050494	0.960597	0.989587	1.00986	1.03996	3.947888
2420	-429.594	-420.584	-9.00988	37561.79	9.039924	0.993449	0.998317	1.00167	1.00657	3.105077
2430	-431.226	-423.018	-8.20824	189714.2	8.386186	0.997083	0.999253	1.00074	1.00292	2.971747
2440	-433.037	-422.776	-10.2616	586170.2	10.72197	0.99834	0.999575	1.00042	1.00166	3.228531
2450	-434.037	-423.429	-10.6075	523615.4	8.986929	0.998244	0.999551	1.00045	1.00176	3.280747
2460	-438.915	-422.763	-16.1518	625179.9	7.884976	0.998393	0.999589	1.00041	1.00161	3.922866
2470	-430.563	-414.198	-16.3647	255309	7.440879	0.997485	0.999356	1.00064	1.00252	3.94046
2480	-430.519	-415.402	-15.1167	330068.9	8.001923	0.997788	0.999434	1.00056	1.00221	3.793972
2490	-428.521	-414.061	-14.4597	227939	6.481748	0.997339	0.999319	1.00068	1.00266	3.556644
2500	-439.214	-424.282	-14.9317	688321.4	9.924391	0.998468	0.999608	1.00039	1.00153	3.717605
2510	-428.062	-420.186	-7.87564	348996.1	8.313751	0.997849	0.99945	1.00055	1.00215	2.924942
